,store,sido,gungu,store_address
34,오창본점,충북,청원군,"충북 청원군 오창읍 과학산업2로 383, 1층"
35,온양관광호텔점,충청남도,아산시,"충청남도 아산시 온천대로 1459 (온천동, 온양관광호 1층"
36,웅진플레이도시점,경기도,부천시,"경기도 부천시 원미구 조마루로 2 상동, 스포츠센타동1층 E102호,F106호 "
37,원주무실스타점,강원도,원주시,강원도 원주시 봉바위길 60 1층
38,익산어양점,전라북도,익산시,전라북도 익산시 무왕로19길 32 (어양동) 
39,익산어양점(프리미엄)(명변),전라북도,익산시,"전라북도 익산시 무왕로19길 32 (어양동, 학원 및 소 1층"
40,익산영등점,전라북도,익산시,"전라북도 익산시 고봉로32길 40 (영등동, 조이미용실) "
41,임실스타점,전라북도,임실군,전라북도 임실군 임실읍 호국로 1650 
42,전남해남점,전라남도,해남군,전라남도 해남군 해남읍 북부순환로 204 
43,종로본점,서울특별시,종로구,서울특별시 종로구 청계천로 81 (관철동)
44,진천점,충청북도,진천군,충청북도 진천군 진천읍 중앙동로 52-1 
45,진해용원점,경상남도,창원시,"경상남도 창원시 진해구 용원서로 38 용원동,송해빌딩105호106호"
46,첨단신용점(프리미엄직영),광주광역시,북구,광주광역시 북구 첨단연신로107번길 5 (신용동) 
47,춘천봄내행운점,강원도,춘천시,"강원도 춘천시 퇴계로 221 (석사동, GnB영어전문학원) 1층"
48,통일스타점,경기도,안양시,경기도 안양시 동안구 평촌대로427번길 60-8 (비산동) 
49,파주금촌로데오점,경기도,파주시,"경기도 파주시 금빛로 24-9 (금촌동,조인원프라자2층 202호)"
50,패밀리타운점,서울,송파구,서울 송파구 문정동 150-25호 1층
51,평택스타점,경기도,평택시,경기도 평택시 자유로 2 (평택동)
52,포천송우행운점,경기도,포천시,경기도 포천시 소흘읍 솔모루로 40 
53,풍납점,서울특별시,송파구,서울특별시 송파구 강동대로9길 14-1 (풍납동) 1층
54,합정스타점,서울특별시,마포구,"서울특별시 마포구 양화로8길 5 (서교동,소천빌딩1층)"
55,향남스타점,경기도,화성시,"경기도 화성시 향남읍 발안로 116 , 204(중앙프라자)"
56,호평역점,경기,남양주시,경기 남양주시 호평동 658-3
57,효천스타점,광주광역시,남구,광주광역시 남구 효우2로26번길 14 (행암동) 
58,가양점,서울특별시,강서구,"서울특별시 강서구 강서로 497 (가양동, 학원빌딩) 1층"
59,가평점,경기도,가평군,경기도 가평군 가평읍 보납로6번길 5 1층
60,강남대점,경기도,용인시,"경기도 용인시 기흥구 강남동로 12 (구갈동) 108, 109호"
61,강남세곡점,서울특별시,강남구,"서울특별시 강남구 헌릉로 569 (세곡동) 101(세곡동,강남리더스프라자)"
62,강화점,인천광역시,강화군,인천광역시 강화군 강화읍 강화대로 358 (전원표구화 
63,거제아주점(Cafe),경상남도,거제시,경상남도 거제시 아주1로1길 42-1 (아주동) 1층
64,거제옥포점,경상남도,거제시,경상남도 거제시 성산로1길 2 (옥포동) 1층
65,경기광주중앙점,경기도,광주시,경기도 광주시 중앙로 150 (경안동) 
66,경남산청점,경상남도,산청군,경상남도 산청군 산청읍 웅석봉로 38-1 
67,경남산청점(4),경상남도,산청군,경상남도 산청군 산청읍 웅석봉로 38-1 
68,경남진영2점(cafe),경남,김해시,경남 김해시 진영읍 여래리 700-187번지
69,경남하동점,경상남도,하동군,경상남도 하동군 하동읍 경서대로 156 
70,경남함안점,경남,함안군,경남 함안군 가야읍 말산리 487-5
71,경북영주가흥점,경상북도,영주시,경상북도 영주시 대학로 207 (가흥동) 101호
72,경북영주점,경상북도,영주시,"경상북도 영주시 선비로 206-1 (영주동, 호산나음악학 bbq올리브카페"
73,경주안강우방점,경상북도,경주시,경상북도 경주시 안강읍 구부랑4길 14-19 
74,계양구청점,인천광역시,계양구,"인천광역시 계양구 오조산로45번길 11 (계산동, 한빛 "
75,과천점,경기,과천시,경기 과천시 별양동 1-3  제일상가 2층 204호
76,광명철산푸르지오,경기도,광명시,"경기도 광명시 디지털로 24 (철산동, 철산푸르지오하 113동B125호"
77,광주송정점,광주광역시,광산구,광주광역시 광산구 광산로 5-1 (송정동) .
78,광주첨단2지구점,광주광역시,북구,"광주광역시 북구 첨단연신로 250 (신용동, 첨단휴먼시 신용동,휴먼시아상가동2층203호"
79,광주풍암점,광주광역시,서구,광주광역시 서구 풍암1로21번길 15-13 (풍암동) 1층
80,교대역점(올리브카페)(3),서울특별시,서초구,"서울특별시 서초구 서초중앙로24길 9 (서초동, 신우빌 1층 10호"
81,구미석적점,경상북도,칠곡군,경상북도 칠곡군 석적읍 동중리1길 11 
82,군산나운행운점,전라북도,군산시,"전라북도 군산시 수송로 37 (나운동, 나뚜루) "
83,금천시흥스타점,서울특별시,금천구,서울특별시 금천구 독산로40길 13 (시흥동) 
84,금촌새말행운점,경기도,파주시,경기도 파주시 정담길 30 (아동동) 106호
85,길동점,서울특별시,강동구,서울특별시 강동구 명일로 198 (길동) 
86,김포구래점,경기,김포시,경기 김포시 구래동 6883-11 애플상가 105호 
87,김해삼계점,경상남도,김해시,경상남도 김해시 해반천로168번길 26-18 (삼계동) 
88,김해아이스퀘어점,경상남도,김해시,경상남도 김해시 김해대로 2342 (부원동) A116호(부원역푸르지오아이스퀘어몰)
89,김해외동점,경남,김해시,경남 김해시 외동 1187-13 
90,낙성대점,서울,관악구,서울 관악구 봉천11동 1640-8
91,남원점,전북,남원시,전북 남원시 향교동 1049-4
92,노량진점,서울특별시,동작구,"서울특별시 동작구 노량진로8길 53 (노량진동, 토끼바 "
93,논현중앙점,서울특별시,강남구,"서울특별시 강남구 언주로136길 10 (논현동,1층)"
94,다사강정보점,대구,달성군,대구 달성군 다사읍 죽곡리 809-2
95,당산행운점,서울특별시,영등포구,"서울특별시 영등포구 양산로 128 (당산동1가, 환희빌 "
96,대구대봉점(치킨앤비어),대구광역시,중구,"대구광역시 중구 대봉로 223 (대봉동, 태양약국) 1층"
97,대구무태점,대구,북구,대구 북구 동변동 669-1 
98,대구성당본리점,대구광역시,달서구,대구광역시 달서구 장기로 176 (감삼동)
99,대구신당1점,대구광역시,달서구,대구광역시 달서구 서당로 79 (신당동) 1층
100,대구아양점,대구광역시,동구,대구광역시 동구 아양로50길 21 (효목동) 
101,대림점,서울,영등포구,서울 영등포구 대림동 739-1
102,대명본점(Cafe),대구,남구,대구 남구 대명동 2138-10
103,대전가장점,대전광역시,서구,"대전광역시 서구 도산로253번길 51 (내동) 내동,블루존상가106,107호"
104,대전내동점,대전광역시,서구,대전광역시 서구 신갈마로 51 
105,대전노은점,대전,유성구,대전 유성구 지족동 898-1 125호
106,대전도룡점,대전광역시,유성구,"대전광역시 유성구 대덕대로590번길 12-13 (도룡동) 103(도룡동,가온하이츠빌)"
107,대전성남점,대전,동구,대전 동구 성남동 200-195
108,대전월평점(cafe),대전,서구,대전 서구 월평동 227번지 1층
109,대전유성상대점,대전광역시,유성구,대전광역시 유성구 월드컵대로308번길 13-1 (상대동) 101(상대동)
110,대청점,서울,강남구,서울 강남구 일원동 687-2
111,덕명수통골점,대전광역시,유성구,"대전광역시 유성구 수통골로 91-1 (덕명동, 1층) "
112,동암역점,인천광역시,부평구,인천광역시 부평구 동암남로 1 (십정동) 2층
113,동탄시범단지점,경기도,화성시,"경기도 화성시 동탄반송3길 46-2 (반송동) 101,102호"
114,동해북삼점,강원도,동해시,강원도 동해시 효자남길 29-8 (쇄운동)
115,등촌역점,서울특별시,양천구,서울특별시 양천구 목동중앙북로7가길 58 (목동) 1층
116,마산양덕점,경상남도,창원시,"경상남도 창원시 마산회원구 산호천동길 94 (양덕동,  "
117,마전우선점,인천광역시,서구,인천광역시 서구 완정로 46 (마전동) 1동 5호 6호
118,마포공덕점,서울특별시,마포구,"서울특별시 마포구 마포대로 156 (공덕동, 공덕푸르지 "
119,메트로자이점,부산광역시,남구,부산광역시 남구 신선로 566 GS하이츠자이 401-154
120,메트로자이점,부산광역시,남구,"부산광역시 남구 신선로 566 (용호동, GS하이츠자이 4 "
121,모전대박점,경북,문경시,경북 문경시 모전동 873-6
122,목포하당2호점(cafe),전남,목포시,전남 목포시 옥암동 965번지 금호아파트상가
123,무주설천점,전라북도,무주군,전라북도 무주군 설천면 삼도봉로 14 
124,민락스타점,경기도,의정부시,경기도 의정부시 오목로225번길 89-66 (민락동) 108호
125,방배본점,서울,서초구,서울 서초구 방배1동 925-24
126,방화역점,서울특별시,강서구,"서울특별시 강서구 금낭화로 287-50 (방화동,오피앙2오피스텔111호~112호)"
127,배곧랜드마크점,경기,시흥시,경기 시흥시 정왕동 1772-23 센타프라자2 102호 
128,별내점,경기도,남양주시,경기도 남양주시 별내5로5번길 51 (별내동) 1층
129,병점2점,경기도,화성시,경기도 화성시 병점중앙로 195 (진안동) 
130,보라매공원점,서울특별시,관악구,서울특별시 관악구 보라매로3길 3 (봉천동) 
131,봉무이시아점,대구광역시,동구,대구광역시 동구 팔공로 250 (봉무동) 이시아스타
132,부개일신점,인천광역시,부평구,인천광역시 부평구  동수로 169-1 
133,부개주공점,인천광역시,부평구,인천광역시 부평구  길주남로 157 201
134,부곡행복점,부산,금정구,부산 금정구 부곡동 888-33 
135,부산대연혁신점,부산광역시,남구,"부산광역시 남구 수영로 345 (대연동, 대연힐스테이트 115동 107호"
136,부산모덕점,부산광역시,사상구,"부산광역시 사상구 백양대로 730 (덕포동, 프로새차만 "
137,부산민락점,부산광역시,수영구,"부산광역시 수영구 광안해변로344번길 9-11 (민락동,  1층"
138,부산반여점,부산광역시,해운대구,"부산광역시 해운대구 반여로 112-1 (반여동, 산봉빌딩 102호"
139,부산송도점,부산광역시,서구,부산광역시 서구 송도해변로 67 
140,부산영주중앙점,부산광역시,중구,부산광역시 중구 중구로 188 (영주동) 
141,부산좌동신시가지점,부산광역시,해운대구,부산광역시 해운대구 대천로 104 (좌동) 102호
142,부산해운대센텀점,부산광역시,해운대구,"부산광역시 해운대구 센텀동로 123 (재송동, 센텀스타 "
143,부산해운대점,부산,해운대구,부산 해운대구 우동 1340 2층
144,부천괴안역곡점,경기,부천시,"경기 부천시 소사구 범안로 54, 그린홈프라자 204호"
145,부천미리내점,경기도,부천시,"경기도 부천시 원미구 조마루로291번길 25 (중동, 센 117호"
146,부천소사본점,경기도,부천시,경기도 부천시 소사구 소사로  211-2
147,부천송내점,경기도,부천시,경기도 부천시 소사구 성주로 112 송내동
148,부천시민회관점,경기,부천시,경기 부천시 원미구 중동 792-2번지 1층
149,부천여월점,경기도,부천시,"경기도 부천시 오정구 성곡로 16번길 7, 다동 1층 1호"
150,삼척점,강원도,삼척시,강원도 삼척시 중앙로 249 (남양동) 
151,삼천포점,경상남도,사천시,경상남도 사천시 벌리9길 7 (벌리동)
152,상봉점,서울특별시,중랑구,서울특별시 중랑구 면목로 442-1 (면목동) 
153,생연점,경기도,동두천시,경기도 동두천시 생골로 24 (생연동) 104호
154,서재세천점,대구광역시,달성군,대구광역시 달성군 다사읍 세천북로 28-1 1층 101호
155,선운지구점,광주,광산구,"광주 광산구 선운로20번길 60 (선암동, 1층)"
156,성남단대점,경기도,성남시,경기도 성남시 중원구 광명로 299 (금광동) 
157,성내점,서울특별시,강동구,"서울특별시 강동구 풍성로 141 (성내동) 성내동, 1층"
158,성복점,경기도,용인시,"경기도 용인시 수지구 성복2로76번길 25-30 (성복동,  지하1층"
159,성수3점,서울특별시,성동구,"서울특별시 성동구 성덕정길 59 (성수동1가,1층) "
160,세종도담점,세종특별자치시,보듬3로,"세종특별자치시 보듬3로 8-20 (도담동, 세종한신휴시 1층 128,129호"
161,세종어진점,세종특별자치시,도움8로,"세종특별자치시 도움8로 81(어진동, 세종일번가) 1동 A-203호"
162,송도센트럴파크점,인천광역시,연수구,"인천광역시 연수구 컨벤시아대로42번길 61 (송도동,  817-104"
163,수원곡반정점,경기,수원시,경기 수원시 권선구 곡반정동 584-5
164,수원영통1점,경기도,수원시,경기도 수원시 영통구 영통로 523 (영통동)
165,시화베니키아호텔점,경기도,시흥시,"경기도 시흥시 평안상가4길 21 (정왕동, 시흥관광호텔 A동 1,2층"
166,시흥능곡점,경기,시흥시,경기 시흥시 능곡동 747 광장프라자 103호
167,시흥은행점,경기,시흥시,"경기 시흥시 은행로 152, 104"
168,신길사러가점,서울특별시,영등포구,"서울특별시 영등포구 신길로39길 4,(신길동, 지상1층) 1층"
169,신림5점,서울특별시,관악구,서울특별시 관악구 관천로11길 152 (신림동) 
170,신림신원점(cafe),서울,관악구,서울 관악구 신림동 1636-35 영신상가
171,신림중앙점,서울특별시,관악구,"서울특별시 관악구 호암로24길 68 (신림동, 지하1층) "
172,신방화점,서울,강서구,서울 강서구 방화동 187-45 1층
173,신사점,서울,강남구,서울 강남구 신사동  561-22
174,신천대구공고,대구광역시,동구,대구광역시 동구 송라로 82 (신천동) 
175,아산청솔점,충남,아산시,충남 아산시 장존동 305-7 청솔아파트상가 203-1호
176,안산선부점,경기도,안산시,경기도 안산시 단원구 선부로 165 (선부동) 1층 101호
177,안성공도점,경기도,안성시,경기도 안성시 공도읍 공도3로 16 101
178,안중점,경기도,평택시,경기도 평택시 안중읍 안현로서9길 161 102(정동빌딩)
179,암사스타점,서울,강동구,서울 강동구 암사동 암사동 447-7 
180,양수리점,경기도,양평군,경기도 양평군 양서면 양수로 153 
181,여수죽림점,전라남도,여수시,전라남도 여수시 소라면 죽림리 1226-6번지 
182,여주현암점,경기도,여주시,"경기도 여주시 현암2길 10 (현암동) 1,2층"
183,영등포본점,서울특별시,영등포구,서울특별시 영등포구 영중로 65 (영등포동6가) 
184,영등포점,서울,영등포구,서울 영등포구 영등포동8가 75-6
185,영등포중앙점,서울,영등포구,서울 영등포구 영등포동3가 7-25 델리타운 101
186,영월점,강원도,영월군,강원도 영월군 영월읍 하송로 72 
187,영천시청점(cafe),경북,영천시,경북 영천시 문외동 40-1번지
188,영화행복점,경기도,수원시,"경기도 수원시 장안구 장안로7번길 18 (영화동) 영화동, 102호, 103호"
189,오천중앙점,경북,포항시,경북 포항시 남구 오천읍 용덕리 350-1
190,옥곡백천점,경상북도,경산시,경상북도 경산시 경산로15길 1-14 (옥곡동)
191,온양권곡점,충남,아산시,충남 아산시 권곡동 205-1 청솔아파트상가 106
192,용두점,서울특별시,동대문구,"서울특별시 동대문구 정릉천동로 58 (용두동, 롯데캐 (용두동,롯데캐슬피렌체 107호)"
193,용인동백점,경기도,용인시,경기도 용인시 기흥구 동백3로11번길 18 103호
194,용인동백호수점,경기,용인시,경기 용인시 기흥구 동백동 619-3
195,용인마북점,경기도,용인시,"경기도 용인시 기흥구 마북로 159 (마북동, 한성프라 111호"
196,용인보라점,경기도,용인시,"경기도 용인시 기흥구 한보라2로 5-5 (보라동) (보라동,B01호)"
197,울산남외점,울산광역시,중구,울산광역시 중구 남외1길 25 (남외동) 
198,울산대공원점,울산광역시,남구,울산광역시 남구 문수로344번길 1 (옥동) 1층
199,울산명촌점,울산광역시,북구,"울산광역시 북구 명촌11길 12 (명촌동,123B3L1층)"
200,울산천곡아진점,울산광역시,북구,"울산광역시 북구 달천로 50 (달천동, 달천아이파크1차 B동 106호"
201,울산현대달동본점,울산광역시,남구,울산광역시 남구 중앙로128번길 65 (달동) 
202,원주일산점,강원도,원주시,"강원도 원주시 천사로 175 (일산동,1층)"
203,월곡역점,서울특별시,성북구,"서울특별시 성북구 화랑로 76 코업스타클래스 (하월곡동,코업스타클래스 1층 101-2호)"
204,월곡역점,서울특별시,성북구,"서울특별시 성북구 화랑로 76 (하월곡동, 코업스타클 "
205,은평뉴타운구파발점(Cafe),서울,은평구,서울 은평구 진관동 106 은평뉴타운 마고정 동부센트레빌 301동 B104호
206,응암2점,서울,은평구,서울 은평구 응암동 674-12 
207,의왕포일점,경기도,의왕시,"경기도 의왕시 안양판교로 101 (포일동, 포일메디컬센 107"
208,의왕포일점,경기도,의왕시,"경기도 의왕시 안양판교로 101 (포일동, 서울와이즈병 1층 107호"
209,익산부송점,전라북도,익산시,전라북도 익산시 부송로 110 (부송동) 1층
210,인천송림점,인천,동구,인천 동구 송림동 125-19번지
211,인천학익점,인천,남구,인천 남구 학익동 244-33
212,일산라페스타점,경기도,고양시,"경기도 고양시 일산동구 무궁화로 20-18 (장항동, 하 1층 107호"
213,잠실엘스점,서울특별시,송파구,"서울특별시 송파구 올림픽로 119 , 172(잠실동,지하1층)"
214,장수스타점,전라북도,장수군,전라북도 장수군 장수읍 구시장길 6-18 (금성센타) 2호
215,장안행복점,서울특별시,동대문구,서울특별시 동대문구 사가정로25길 60 (장안동) 1층
216,장흥일영점,경기도,양주시,"경기도 양주시 장흥면 호국로 156 나동 2층 104호,105호"
217,전남강진점,전라남도,강진군,전라남도 강진군 강진읍 보은로2길 36 
218,전남나주시내점,전라남도,나주시,전라남도 나주시 중앙로 7 (남내동) 
219,전남남평점,전라남도,나주시,전라남도 나주시 남평읍 남평1로 10 
220,전남완도행운점,전라남도,완도군,전라남도 완도군 완도읍 개포로 175 
221,정읍수성점,전라북도,정읍시,전라북도 정읍시 중앙로 131 (수성동) 
222,제주노형점,제주특별자치도,제주시,"제주특별자치도 제주시 수덕로 81 (노형동, 동원빌딩) "
223,제주삼도점,제주,제주시,제주 제주시 삼도1동 537-16
224,제주삼화점,제주특별자치도,제주시,제주특별자치도 제주시 화삼북로 143 (삼양이동) 1층
225,제주아라점(cafe)(2),제주특별자치도,제주시,제주특별자치도 제주시 아란8길 (아라일동) 1층
226,제주외도점,제주,제주시,제주 제주시 외도2동 250-1
227,제주월정점,제주,제주시,제주 제주시 구좌읍 행원리 1537-5 
228,제주이도초교점,제주특별자치도,제주시,제주특별자치도 제주시 청사로 86 (도남동) 
229,제주하귀애월점,제주,제주시,제주 제주시 애월읍 하귀2리 1863
230,제주한림점,제주특별자치도,제주시,제주특별자치도 제주시 한림읍 한림로 703 1층
231,제천로즈웰점,충청북도,제천시,충청북도 제천시 신백로 33 (신백동) 
232,종로6가점(cafe),서울,종로구,서울 종로구 종로6가 138-1번지
233,주문진점,강원도,강릉시,강원도 강릉시 주문진읍 신리천로 56 
234,죽전월드마크점,대구광역시,달서구,"대구광역시 달서구 와룡로 169 (감삼동, 월드마크웨스 1층 101-111호"
235,지리산온천점,전라남도,구례군,"전라남도 구례군 산동면 지리산온천로 262 101호, 102호"
236,진주상평점,경상남도,진주시,경상남도 진주시 돗골로123번길 4 (상대동) 
237,진주평거점,경상남도,진주시,"경상남도 진주시 새평거로 30 (평거동, 엠코타운 더프 "
238,창원봉곡점,경상남도,창원시,경상남도 창원시 의창구 원이대로279번길 17 (봉곡동) 1층
239,창원북면점,경상남도,창원시,경상남도 창원시 의창구 북면 천주로577번길 25  106(1층)
240,창원상남스타점(치킨앤비어),경상남도,창원시,"경상남도 창원시 성산구 중앙대로 90 (상남동, 디아트 1층 105호"
241,천안나사렛대점,충청남도,천안시,"충청남도 천안시 서북구 나사렛대길 27 (쌍용동, 코지 101호"
242,청주사천점,충청북도,청주시,충청북도 청주시 청원구 율천북로 53 (사천동) 
243,청주성안점,충북,청주시,충북 청주시 상당구 석교동 33-7 2층
244,청주성화점,충청북도,청주시,충청북도 청주시 서원구 장전로20번길 16 (성화동) 1층
245,춘천봄내행운점,강원도,춘천시,강원도 춘천시 퇴계로 221 (석사동) 1층
246,춘천장학지구점,강원도,춘천시,강원도 춘천시 동면 춘천로449번길 20-2 
247,충남금산점,충청남도,금산군,"충청남도 금산군 금산읍 인삼로 65, 106 (앤이시티)"
248,충남덕산온천점,충청남도,예산군,충청남도 예산군 덕산면 봉운로 27-2 
249,충남복운점,충남,당진군,충남 당진군 송악면 복운리 1640-1
250,충남서산읍내점,충남,서산시,충남 서산시 읍내동 255번지
251,충남서천점,충남,서천군,충남 서천군 서천읍 사곡리 271
252,충남온양본점,충청남도,아산시,충청남도 아산시 온중로54번길 7-4 
253,충북오송점,충청북도,청원군,"충청북도 청원군 오송읍 오송생명3로 87 모아미래도아 상가동 201,202호"
254,충주연수행복점,충북,충주시,충북 충주시 연수동 539-1
255,통영미수봉평점,경상남도,통영시,경상남도 통영시 해평1길 6-2 (봉평동)
256,통영죽림점,경상남도,통영시,경상남도 통영시 광도면 신죽1길 90 (죽림프라자) 105호
257,통영큐즈점,경남,통영시,경남 통영시 무전동 1032-1 
258,파주봉일천점,경기도,파주시,경기도 파주시 조리읍 봉천로 37-14 
259,평택서정점,경기도,평택시,경기도 평택시 특구로27번길 25 (서정동)
260,포천중앙점,경기,포천시,"경기 포천시 신읍동 191-35,37,38"
261,포항남부점,경북,포항시,경북 포항시 남구 상도동 66-54 
262,포항대이점,경북,포항시,경북 포항시 남구 대이로127번길 18-5 1층(이동)
263,포항두호점,경상북도,포항시,경상북도 포항시 북구 학전로 71 (두호동) 1층
264,포항양학점,경상북도,포항시,경상북도 포항시 북구 양학로 8 (학잠동) 1층
265,포항창포점,경북,포항시,경북 포항시 북구 창포동 627
266,학동역점,서울특별시,강남구,서울특별시 강남구 학동로34길 23 (논현동) 1층
267,행운점,서울특별시,관악구,"서울특별시 관악구 봉천로 567 (봉천동, 1층) "
268,형곡행복점,경북,구미시,경북 구미시 형곡동 151-7 대림베스트빌 301동 105호
269,화곡3점,서울특별시,양천구,서울특별시 양천구 월정로 218 (신월동) 1층
270,화정스타점,광주,서구,광주 서구 화정동 1334 101호
271,흥덕지구점,경기,용인시,경기 용인시 기흥구 영덕동 974-7 미래도프라자 103호
272,흥덕행복점,경상북도,문경시,경상북도 문경시 호서로 100 (흥덕동)
273,강남고속버스터미널점,서울특별시,서초구,"서울특별시 서초구 신반포로 194 강남고속버스터미널 (반포동,본관지층)"
274,개포스타점,서울특별시,강남구,서울특별시 강남구 논현로12길 19-9 (개포동) 
275,거제삼성점,경상남도,거제시,"경상남도 거제시 장평4로 57 (장평동, 그린피아) 101호"
276,계산역점,인천광역시,계양구,인천광역시 계양구 경명대로 1091 (계산동) 에이동 1층
277,고색행복점,경기도,수원시,경기도 수원시 권선구 매송고색로 701 (고색동) 
278,광명소하점,경기도,광명시,경기도 광명시 성채로50번길 9-12 101 (소하동)
279,광명하안점,경기도,광명시,"경기도 광명시 가림로 54-11 (하안동, 하안주공아파트 일반상가 107호)"
280,광명행복점,경기도,광명시,경기도 광명시 오리로985번안길 3 (광명동) 1층
281,굴포천점,인천광역시,부평구,"인천광역시 부평구 충선로203번길 16 (삼산동, 창성프 101,102호"
282,김천점,경상북도,김천시,경상북도 김천시 부곡맛고을3길 24 (부곡동) 
283,낙산해수욕장점,강원도,양양군,강원도 양양군 강현면 일출로 43-11 
284,대전신탄진점,대전,대덕구,대전 대덕구 신탄진동 121-23
285,대전용전점,대전광역시,동구,"대전광역시 동구 홍도로 62 (용전동, 한밭맨션) 용전동, 2층"
286,대전터미널점,대전광역시,동구,"대전광역시 동구 동서대로1695번길 30 (용전동, 대전 1층 CE110호"
287,대천파레브점,충남,보령시,충남 보령시 신흑동 2274-1 
288,대학로점,서울,종로구,서울 종로구 명륜동2가 22-2 도가빌딩 1층
289,독산행복점,서울특별시,금천구,"서울특별시 금천구 범안로 1193 (독산동, 가남물산제1 1층"
290,동대문점,서울,중구,서울 중구 을지로6가 23-26 지상1층
291,동탄산업단지점,경기도,화성시,경기도 화성시 동탄면 동탄기흥로 147-13 205호(센터프라자)
292,명동점(치킨앤비어)(사변),서울특별시,중구,"서울특별시 중구 명동8가길 22 (충무로2가, 충무로패 3층"
293,무교동점,서울특별시,중구,서울특별시 중구 무교로 19 
294,범계점,경기,안양시,경기 안양시 동안구 호계동 1047-3 성보빌딩 103호
295,봉화점,경북,봉화군,경북 봉화군 봉화읍 내성리 272-4
296,부산사상역점,부산광역시,사상구,부산광역시 사상구 광장로 96 (괘법동) 
297,부산중동점(치킨앤비어),부산광역시,중구,"부산광역시 중구 중앙대로 114 (중앙동4가, 크라운 하 2층"
298,"부산해운대비치점(명변,치킨앤비어)",부산,해운대구,부산 해운대구 중동 1417-2 씨스타지하1층
299,사당메트로점,서울특별시,서초구,서울특별시 서초구 방배천로 5-1 (방배동) 2층
300,사당역점,서울,관악구,서울 관악구 남현동 1061-59
301,삼례우석대점,전라북도,완주군,전라북도 완주군 삼례읍 동학로 103 
302,삼척대명리조트점,강원,삼척시,강원 삼척시 갈천동 산 16-4번지 메인로비 1층 
303,서산점,충남,서산시,충남 서산시 대산읍 기은리 592-23
